elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,human toxicity: carcinogenic|comparative toxic unit for human (CTUh),human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe)
b32061b1-8d24-4663-b10d-0a1c705f2937,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Air,urban air,kg,mapped,1.317983122959167e-06,4.115873946117017e-06,0.4539412354737912
eb53bdf4-5b02-40fa-a1cb-318e207e7eec,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,urban air close to ground,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Air,urban air,kg,mapped,1.317983122959167e-06,4.115873946117017e-06,0.4539412354737912
c491a3e4-8bf5-57b9-a2e8-b154e8620155,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",water,unspecified,kg,"mapped: name, stripped, synonym, syn_strip, CAS",,1.0,,"1,1,2-trichloroethane",Water,continental freshwater,kg,mapped,7.706354762433118e-07,2.40658504905726e-06,43.48236278884245
b018c97d-8fea-4258-b4d3-6a65669c77f4,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,"low population density, long-term",kg,mapped: CAS,,1.0,,"1,1-dichlorofluoroethane",Air,continental rural air,kg,mapped,3.905360927078773e-08,0.0,0.0
416eedbd-a7b4-4693-8031-9bfaa2f20ebc,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,non-urban air or from high stacks,kg,mapped: CAS,,1.0,,"1,1-dichlorofluoroethane",Air,continental rural air,kg,mapped,3.905360927078773e-08,0.0,0.0
843fd145-61ac-4fa7-a608-ce4ac4d88d49,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,unspecified,kg,mapped: CAS,,1.0,,"1,1-dichlorofluoroethane",Air,urban air,kg,mapped,4.434324137302413e-08,0.0,0.0
033d3a16-e1a2-4ce8-8769-f4ea867801ca,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,urban air close to ground,kg,mapped: CAS,,1.0,,"1,1-dichlorofluoroethane",Air,urban air,kg,mapped,4.434324137302413e-08,0.0,0.0
94ca9e00-5268-4663-a0cd-25026c7c6b53,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,"low population density, long-term",kg,ecoinvent orphan,,,,,,,,,,,
1c4a106a-53bc-40f5-bcae-d30ab191dbfe,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,
9cf9bf0e-86fe-42c0-90cc-bfed96fbdc8f,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,
393d0862-04cc-45ae-8d08-9dc2a4461b35,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,urban air close to ground,kg,ecoinvent orphan,,,,,,,,,,,
5124d526-1e07-5283-bb10-b933def7bfde,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,non-urban air or from high stacks,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Air,continental rural air,kg,mapped,0.0,0.0,1193.544851909146
5fafa58a-2557-5b83-a985-6419209af7f2,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,unspecified,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Air,urban air,kg,mapped,0.0,0.0,2359.951025695634
4e53e939-67c1-550e-8c74-d5953a6be829,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,agricultural,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Soil,continental agricultural soil,kg,mapped,0.0,0.0,1147.609397428712
a6106254-94d3-567a-9975-90d379eebef9,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,forestry,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Soil,continental natural soil,kg,mapped,0.0,0.0,1207.630428906886
10c8aa9c-21f2-5d16-9771-8b38f3ec93e0,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,unspecified,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Soil,continental natural soil,kg,mapped,0.0,0.0,1207.630428906886
9a55ac3c-4807-534b-8928-d3ff42dbb815,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,surface water,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Water,continental freshwater,kg,mapped,0.0,0.0,7902.626471384591
493b0ae9-70d7-5431-ac22-c96b4fb7ac4f,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,unspecified,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",Water,continental freshwater,kg,mapped,0.0,0.0,7902.626471384591
ea1a158e-2022-5518-b985-d83f296f56d5,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,air,non-urban air or from high stacks,kg,mapped: CAS,,1.0,,ethylene dibromide,Air,continental rural air,kg,mapped,7.230915254864702e-06,4.680662960910651e-08,2.779405219512732
b0820cd6-3c99-51a9-acfe-37a13cbfd9fb,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,air,unspecified,kg,mapped: CAS,,1.0,,ethylene dibromide,Air,urban air,kg,mapped,2.482318583637754e-05,1.609310218286565e-07,2.779841577443473
98a9652c-92e1-5f18-bcec-946d530f911d,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,agricultural,kg,mapped: CAS,,1.0,,ethylene dibromide,Soil,continental agricultural soil,kg,mapped,5.189876984451731e-05,3.074323509163995e-07,79.74912814412315
a2dfe95b-6a18-53cf-bc0f-63abca15d94f,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,forestry,kg,mapped: CAS,,1.0,,ethylene dibromide,Soil,continental natural soil,kg,mapped,7.127326479261657e-06,4.456508319052153e-08,79.74914178262883
94abc029-b2da-57a8-8489-281f8c659f0f,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,unspecified,kg,mapped: CAS,,1.0,,ethylene dibromide,Soil,continental natural soil,kg,mapped,7.127326479261657e-06,4.456508319052153e-08,79.74914178262883
6d2cb934-8d9f-52b8-803a-aaac622641f8,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,water,surface water,kg,mapped: CAS,,1.0,,ethylene dibromide,Water,continental freshwater,kg,mapped,1.433457624790891e-05,8.741088830180942e-08,269.1672336766511
8ad2669d-b79b-5db8-89c6-001063344d24,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,water,unspecified,kg,mapped: CAS,,1.0,,ethylene dibromide,Water,continental freshwater,kg,mapped,1.433457624790891e-05,8.741088830180942e-08,269.1672336766511
1e060d5a-cd41-4f30-9c93-272403b7e004,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,"low population density, long-term",kg,ecoinvent orphan,,,,,,,,,,,
1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,
8a3a44e4-e2f1-476d-9e9e-a90fda263fe3,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,
3b30d058-02ef-4ed2-b357-5fc1a45c63e7,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,urban air close to ground,kg,ecoinvent orphan,,,,,,,,,,,
53f2422a-4ab1-56cc-a9a9-6136f06bcb3f,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Air,continental rural air,kg,mapped,7.176711141463334e-08,9.990115317289208e-06,0.1304036193893079
39f4a569-c774-502f-ab05-f74898971140,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Air,urban air,kg,mapped,2.509161994223736e-07,3.492800138942661e-05,0.1304420195205522
cd08da54-895f-5271-a897-2e7441abe4b7,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Soil,continental agricultural soil,kg,mapped,2.462776592257792e-07,3.428230797144671e-05,5.724176324774069
a2adb177-e77e-5b61-b2fd-878e013b8111,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,forestry,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",Soil,continental natural soil,kg,mapped,6.864837741183914e-08,9.555981746664376e-06,5.724173463932286
