elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,total|UBP,"water use|water resources, evaporated",energy resources|energy resources,mineral resources|mineral resources,land use|land use,climate change|global warming potential (GWP100),ozone depletion|ozone depletion,emissions to air|air pollutants and PM,emissions to air|carcinogenic substances into air,emissions to air|heavy metals into air,emissions to water|water pollutants,emissions to water|POP into water,emissions to water|heavy metals into water,emissions to soil|pesticides into soil,emissions to soil|heavy metals into soil,emissions to air|radioactive substances into air,emissions to water|radioactive substances into water,"waste disposal|waste, non radioactive",waste disposal|radioactive waste to deposit,natural resources|biotic resources
b018c97d-8fea-4258-b4d3-6a65669c77f4,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1-dichloro-1-fluoro-, hcfc-141b",air,"low population density, long-term",kg,mapped,2800000.0,,,,,,2800000.0,,,,,,,,,,,,,
416eedbd-a7b4-4693-8031-9bfaa2f20ebc,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1-dichloro-1-fluoro-, hcfc-141b",air,low population density,kg,mapped,2800000.0,,,,,,2800000.0,,,,,,,,,,,,,
843fd145-61ac-4fa7-a608-ce4ac4d88d49,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1-dichloro-1-fluoro-, hcfc-141b",air,unspecified,kg,mapped,2800000.0,,,,,,2800000.0,,,,,,,,,,,,,
033d3a16-e1a2-4ce8-8769-f4ea867801ca,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1-dichloro-1-fluoro-, hcfc-141b",air,high population density,kg,mapped,2800000.0,,,,,,2800000.0,,,,,,,,,,,,,
94ca9e00-5268-4663-a0cd-25026c7c6b53,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"ethane, 1,1-difluoro-, hfc-152a",air,"low population density, long-term",kg,mapped,140000.0,,,,,140000.0,,,,,,,,,,,,,,
1c4a106a-53bc-40f5-bcae-d30ab191dbfe,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"ethane, 1,1-difluoro-, hfc-152a",air,low population density,kg,mapped,140000.0,,,,,140000.0,,,,,,,,,,,,,,
9cf9bf0e-86fe-42c0-90cc-bfed96fbdc8f,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,unspecified,kg,mapped: overwrite,,1.0,,"ethane, 1,1-difluoro-, hfc-152a",air,unspecified,kg,mapped,140000.0,,,,,140000.0,,,,,,,,,,,,,,
393d0862-04cc-45ae-8d08-9dc2a4461b35,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"ethane, 1,1-difluoro-, hfc-152a",air,high population density,kg,mapped,140000.0,,,,,140000.0,,,,,,,,,,,,,,
5124d526-1e07-5283-bb10-b933def7bfde,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fafa58a-2557-5b83-a985-6419209af7f2,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e53e939-67c1-550e-8c74-d5953a6be829,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,agricultural,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6106254-94d3-567a-9975-90d379eebef9,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,forestry,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10c8aa9c-21f2-5d16-9771-8b38f3ec93e0,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a55ac3c-4807-534b-8928-d3ff42dbb815,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,surface water,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493b0ae9-70d7-5431-ac22-c96b4fb7ac4f,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea1a158e-2022-5518-b985-d83f296f56d5,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,air,non-urban air or from high stacks,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0820cd6-3c99-51a9-acfe-37a13cbfd9fb,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,air,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98a9652c-92e1-5f18-bcec-946d530f911d,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,agricultural,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2dfe95b-6a18-53cf-bc0f-63abca15d94f,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,forestry,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94abc029-b2da-57a8-8489-281f8c659f0f,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d2cb934-8d9f-52b8-803a-aaac622641f8,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,water,surface water,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ad2669d-b79b-5db8-89c6-001063344d24,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,water,unspecified,kg,ecoinvent orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
