elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP100),acidification|acidification potential (AP),particulate matter formation|particulate matter formation potential (PMFP),ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation|maximum incremental reactivity (MIR),eutrophication|eutrophication potential,ecotoxicity: freshwater|ecotoxicity: freshwater,human toxicity: carcinogenic|human toxicity: carcinogenic,human toxicity: non-carcinogenic|human toxicity: non-carcinogenic
393d0862-04cc-45ae-8d08-9dc2a4461b35,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,,hfc-152a,air,unspecified,kg,mapped: proxy,124.0,,,,0.01749717948717949,,,,
5124d526-1e07-5283-bb10-b933def7bfde,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,non-urban air or from high stacks,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",air,rural air,kg,mapped,,,,,,,426.3713359192215,,
5fafa58a-2557-5b83-a985-6419209af7f2,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,air,unspecified,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",air,unspecified,kg,mapped,,,,,,,463.4236791589755,,
4e53e939-67c1-550e-8c74-d5953a6be829,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,agricultural,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",soil,agricultural soil,kg,mapped,,,,,,,1086.283977810515,,
a6106254-94d3-567a-9975-90d379eebef9,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,forestry,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",soil,natural soil,kg,mapped,,,,,,,1086.283977810515,,
10c8aa9c-21f2-5d16-9771-8b38f3ec93e0,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,soil,unspecified,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",soil,natural soil,kg,mapped,,,,,,,1086.283977810515,,
9a55ac3c-4807-534b-8928-d3ff42dbb815,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,surface water,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",water,freshwater,kg,mapped,,,,,,,7910.270827790883,,
493b0ae9-70d7-5431-ac22-c96b4fb7ac4f,"1,2-Benzisothiazolin-3-one",002634-33-5,C7H5NOS,,water,unspecified,kg,mapped: CAS,,1.0,,"1,2-benzisothiazol-3(2h)-one",water,freshwater,kg,mapped: proxy,,,,,,,7910.270827790883,,
ea1a158e-2022-5518-b985-d83f296f56d5,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,air,non-urban air or from high stacks,kg,mapped: CAS,,1.0,,ethylene dibromide,air,rural air,kg,mapped,,,,,0.1015541025641025,,3.476362341408401,1.082652044602375e-05,7.013978217535793e-08
b0820cd6-3c99-51a9-acfe-37a13cbfd9fb,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,air,unspecified,kg,mapped: CAS,,1.0,,ethylene dibromide,air,unspecified,kg,mapped,,,,,0.1015541025641025,,3.480264260328326,1.961999491232134e-05,1.271846306640332e-07
98a9652c-92e1-5f18-bcec-946d530f911d,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,agricultural,kg,mapped: CAS,,1.0,,ethylene dibromide,soil,agricultural soil,kg,mapped,,,,,,,14.61452313240029,8.359407549684212e-06,5.29780743456696e-08
a2dfe95b-6a18-53cf-bc0f-63abca15d94f,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,forestry,kg,mapped: CAS,,1.0,,ethylene dibromide,soil,natural soil,kg,mapped,,,,,,,14.6145231324003,6.843365230527973e-06,4.407691164405031e-08
94abc029-b2da-57a8-8489-281f8c659f0f,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,soil,unspecified,kg,mapped: CAS,,1.0,,ethylene dibromide,soil,natural soil,kg,mapped,,,,,,,14.6145231324003,6.843365230527973e-06,4.407691164405031e-08
6d2cb934-8d9f-52b8-803a-aaac622641f8,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,water,surface water,kg,mapped: CAS,,1.0,,ethylene dibromide,water,freshwater,kg,mapped,,,,,,,269.3857195835009,1.711283088243668e-05,1.05384025869038e-07
8ad2669d-b79b-5db8-89c6-001063344d24,"1,2-Dibromoethane",000106-93-4,C2H4Br2,,water,unspecified,kg,mapped: CAS,,1.0,,ethylene dibromide,water,freshwater,kg,mapped: proxy,,,,,,,269.3857195835009,1.711283088243668e-05,1.05384025869038e-07
1e060d5a-cd41-4f30-9c93-272403b7e004,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-114,air,unspecified,kg,mapped,10000.0,,,1.0,,,,,
1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-114,air,unspecified,kg,mapped: proxy,10000.0,,,1.0,,,,,
8a3a44e4-e2f1-476d-9e9e-a90fda263fe3,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-114,air,unspecified,kg,mapped,10000.0,,,1.0,,,,,
3b30d058-02ef-4ed2-b357-5fc1a45c63e7,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",000076-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane; CFC-114; Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-; R114",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,,cfc-114,air,unspecified,kg,mapped: proxy,10000.0,,,1.0,,,,,
53f2422a-4ab1-56cc-a9a9-6136f06bcb3f,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",air,rural air,kg,mapped,,,,,0.2933948717948718,,0.157638151862634,1.024565144449931e-07,1.426213726785562e-05
39f4a569-c774-502f-ab05-f74898971140,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",air,unspecified,kg,mapped,,,,,0.2933948717948718,,0.157803696330948,1.920047695319533e-07,2.672742083782182e-05
cd08da54-895f-5271-a897-2e7441abe4b7,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",soil,agricultural soil,kg,mapped,,,,,,,2.238600173974131,1.016802511401587e-07,1.415407997282152e-05
a2adb177-e77e-5b61-b2fd-878e013b8111,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,forestry,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",soil,natural soil,kg,mapped,,,,,,,2.238600173974131,8.765885283289467e-08,1.220227526397755e-05
7fa8cd55-0c43-5f67-aaaf-059ad2dcb422,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,soil,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",soil,natural soil,kg,mapped,,,,,,,2.238600173974131,8.765885283289467e-08,1.220227526397755e-05
9b513ff5-5f93-5bfe-9a74-385c8ccb657c,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,water,surface water,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",water,freshwater,kg,mapped,,,,,,,45.72119965258207,1.669833231825856e-07,2.324438899345279e-05
5cf66c46-55a2-514e-a6ec-806927049896,"1,2-Dichloropropane",000078-87-5,C3H6Cl2,,water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,2-dichloropropane",water,freshwater,kg,mapped: proxy,,,,,,,45.72119965258207,1.669833231825856e-07,2.324438899345279e-05
053bc905-96bd-52d2-844d-38101708c9ac,"1,3,5-Trioxane",000110-88-3,C3H6O3,,air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",air,rural air,kg,mapped,,,,,,,0.02135437939961953,,
f88c472f-8e32-5403-949d-89711b592964,"1,3,5-Trioxane",000110-88-3,C3H6O3,,air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",air,unspecified,kg,mapped,,,,,,,0.02145801791483691,,
52c71a8c-4002-5f66-909d-904fa365b897,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",soil,agricultural soil,kg,mapped,,,,,,,0.2124037890313957,,
8e9420b9-8ee0-5056-8eeb-12e472319fbc,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,forestry,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",soil,natural soil,kg,mapped,,,,,,,0.2124037890313957,,
3ddfe0c0-f950-5ca5-b1ea-0a159d6b2944,"1,3,5-Trioxane",000110-88-3,C3H6O3,,soil,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",soil,natural soil,kg,mapped,,,,,,,0.2124037890313957,,
a028f9da-dc5e-5c37-9961-536d62fc5654,"1,3,5-Trioxane",000110-88-3,C3H6O3,,water,surface water,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",water,freshwater,kg,mapped,,,,,,,0.930265540237759,,
6cbb94bd-88e1-549a-877e-2cd1a9f19b7b,"1,3,5-Trioxane",000110-88-3,C3H6O3,,water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,3,5-trioxane",water,freshwater,kg,mapped: proxy,,,,,,,0.930265540237759,,
1a5ef7d9-150d-4c9f-a709-fc2423a1d4db,"1,3-Dichloropropene",000542-75-6,C3H4Cl2,"1,3-dichloroprop-1-ene; Dichloropropene",soil,agricultural,kg,"mapped: name, stripped, CAS",,1.0,,"1,3-dichloropropene",soil,agricultural soil,kg,mapped,,,,,,,71.97438040803833,1.240477537933095e-07,1.133340138198034e-05
d21da01e-f96f-4db5-9746-7b70db8a1f2c,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,"low population density, long-term",kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",air,unspecified,kg,mapped,,,,,2.71774358974359,,0.8564598987324652,,
83bafcf1-2f2e-4a32-89a0-f1f16ca10626,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,non-urban air or from high stacks,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",air,rural air,kg,mapped,,,,,2.71774358974359,,0.8353349461994352,,
09db39be-d9a6-4fc3-8d25-1f80b23e9131,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",air,unspecified,kg,mapped,,,,,2.71774358974359,,0.8564598987324652,,
38a622c6-f086-4763-a952-7c6b3b1c42ba,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",air,urban air close to ground,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",air,urban air,kg,mapped,,,,,2.71774358974359,,0.8775848512654951,,
c5de5e4d-85cf-4102-9ff1-5248d8928ba1,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ground-,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",water,freshwater,kg,mapped,,,,,,,7.309331982177244,,
564dde7f-e713-4baf-84aa-7a11ffa7e2cd,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,"ground-, long-term",kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",water,freshwater,kg,mapped,,,,,,,7.309331982177244,,
aae8aac7-b81d-41e4-b356-912b369d1c55,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,ocean,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",water,sea water,kg,mapped,,,,,,,1.248882374560439e-06,,
d6911d36-3fec-41fe-8ef9-540f6543a240,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,surface water,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",water,freshwater,kg,mapped,,,,,,,7.309331982177244,,
d835b7aa-288b-4b3a-966b-3f64f36ed220,"1,4-Butanediol",000110-63-4,C4H10O2,"Butylene glycol; butane-1,4-diol",water,unspecified,kg,"mapped: name, stripped, CAS",,1.0,,"1,4-butanediol",water,freshwater,kg,mapped: proxy,,,,,,,7.309331982177244,,
