elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,acidification|accumulated exceedance (AE),climate change|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP100),climate change: fossil|global warming potential (GWP100),climate change: land use and land use change|global warming potential (GWP100),particulate matter formation|impact on human health,ecotoxicity: freshwater|comparative toxic unit for ecosystems (CTUe),"ecotoxicity: freshwater, inorganics|comparative toxic unit for ecosystems (CTUe)","ecotoxicity: freshwater, organics|comparative toxic unit for ecosystems (CTUe)",eutrophication: marine|fraction of nutrients reaching marine end compartment (N),eutrophication: freshwater|fraction of nutrients reaching freshwater end compartment (P),eutrophication: terrestrial|accumulated exceedance (AE),human toxicity: carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: carcinogenic, organics|comparative toxic unit for human (CTUh)",human toxicity: non-carcinogenic|comparative toxic unit for human (CTUh),"human toxicity: non-carcinogenic, inorganics|comparative toxic unit for human (CTUh)","human toxicity: non-carcinogenic, organics|comparative toxic unit for human (CTUh)",ionising radiation: human health|human exposure efficiency relative to u235,land use|soil quality index,ozone depletion|ozone depletion potential (ODP),photochemical oxidant formation: human health|tropospheric ozone concentration increase,energy resources: non-renewable|abiotic depletion potential (ADP): fossil fuels,material resources: metals/minerals|abiotic depletion potential (ADP): elements (ultimate reserves),water use|user deprivation potential (deprivation-weighted water consumption)
9b132374-dce2-4ce0-86aa-53201b30f617,"1,1,2-Trichloro-1,2,2-trifluoroethane",000076-13-1,C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane; CFC-113; Ethane, 1,1,2-trichloro-1,2,2-trifluoro-; R113",air,urban air close to ground,kg,mapped: CAS,,1.0,ad6ce603-d4a9-4064-80e7-5a6acc818057,"1,1,2-trichlorotrifluoroethane",Emissions to air,Emissions to urban air close to ground,kg,mapped,,6520.0,,6520.0,,,,,,,,,0.0,,0.0,5.0826e-09,,5.0826e-09,,,0.81,,,,
e75faf77-8341-4223-8b46-72391fd0f312,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,"low population density, long-term",kg,mapped: overwrite,,1.0,,"1,1,2-trichloroethane",Emissions to air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4d5edf7-0584-4e43-8ee7-f78511443b0d,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,non-urban air or from high stacks,kg,mapped: overwrite,,1.0,,"1,1,2-trichloroethane",Emissions to air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b32061b1-8d24-4663-b10d-0a1c705f2937,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,unspecified,kg,mapped: overwrite,,1.0,,"1,1,2-trichloroethane",Emissions to air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb53bdf4-5b02-40fa-a1cb-318e207e7eec,"1,1,2-Trichloroethane",000079-00-5,C2H3Cl3,"1,1,2-Trichlorethan; 1,1,2-trichloroethane",air,urban air close to ground,kg,mapped: overwrite,,1.0,,"1,1,2-trichloroethane",Emissions to air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b018c97d-8fea-4258-b4d3-6a65669c77f4,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-aba1-0050c2490048,hcfc-141b,Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,860.0,,860.0,,,,,,,,,0.0,,0.0,,,,,,0.102,,,,
416eedbd-a7b4-4693-8031-9bfaa2f20ebc,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,non-urban air or from high stacks,kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-aba3-0050c2490048,hcfc-141b,Emissions to air,Emissions to non-urban air or from high stacks,kg,mapped,,860.0,,860.0,,,,,,,,,3.9054e-08,,3.9054e-08,,,,,,0.102,,,,
843fd145-61ac-4fa7-a608-ce4ac4d88d49,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,unspecified,kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-aba0-0050c2490048,hcfc-141b,Emissions to air,"Emissions to air, unspecified",kg,mapped,,860.0,,860.0,,,,,,,,,4.1699e-08,,4.1699e-08,,,,,,0.102,,,,
033d3a16-e1a2-4ce8-8769-f4ea867801ca,"1,1-Dichloro-1-fluoroethane",001717-00-6,C2H3Cl2F,"1,1-dichloro-1-fluoroethane; Ethane, 1,1-dichloro-1-fluoro-; HCFC-141b; R141b",air,urban air close to ground,kg,"mapped: synonym, syn_strip, CAS",,1.0,fe0acd60-3ddc-11dd-aba2-0050c2490048,hcfc-141b,Emissions to air,Emissions to urban air close to ground,kg,mapped,,860.0,,860.0,,,,,,,,,4.4343e-08,,4.4343e-08,,,,,,0.102,,,,
94ca9e00-5268-4663-a0cd-25026c7c6b53,"1,1-Difluoroethane",000075-37-6,C2H4F2,"1,1-difluoroethane; Ethane, 1,1-difluoro-; HFC-152a; R152a",air,"low population density, long-term",kg,"mapped: synonym, syn_strip, CAS",,1.0,08a91e70-3ddc-11dd-930a-0050c2490048,hfc-152a,Emissions to air,"Emissions to air, unspecified (long-term)",kg,mapped,,164.0,,164.0,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,
