elementary_flow_id,elementary_flow_name,cas_number,formula,synonyms,compartment,subcompartment,unit_name,flow_status,flow_used,conversion_factor,method_elementary_flow_id,method_elementary_flow_name,method_compartment,method_subcompartment,method_unit,compartment_status,climate change|global warming potential (GWP20),climate change|global warming potential (GWP100),climate change|global warming potential (GWP500),climate change|global temperature change potential (GTP50),climate change|global temperature change potential (GTP100),climate change: including SLCFs|global warming potential (GWP20),climate change: including SLCFs|global warming potential (GWP100),climate change: including SLCFs|global temperature change potential (GTP100),climate change: fossil|global warming potential (GWP20),climate change: fossil|global warming potential (GWP100),climate change: fossil|global warming potential (GWP500),climate change: fossil|global temperature change potential (GTP50),climate change: fossil|global temperature change potential (GTP100),"climate change: fossil, including SLCFs|global warming potential (GWP20)","climate change: fossil, including SLCFs|global warming potential (GWP100)","climate change: fossil, including SLCFs|global temperature change potential (GTP100)",climate change: biogenic|global warming potential (GWP20),climate change: biogenic|global warming potential (GWP100),climate change: biogenic|global warming potential (GWP500),climate change: biogenic|global temperature change potential (GTP50),climate change: biogenic|global temperature change potential (GTP100),"climate change: biogenic, including SLCFs|global warming potential (GWP20)","climate change: biogenic, including SLCFs|global warming potential (GWP100)","climate change: biogenic, including SLCFs|global temperature change potential (GTP100)",climate change: land use|global warming potential (GWP20),climate change: land use|global warming potential (GWP100),climate change: land use|global warming potential (GWP500),climate change: land use|global temperature change potential (GTP50),climate change: land use|global temperature change potential (GTP100),"climate change: land use, including SLCFs|global warming potential (GWP20)","climate change: land use, including SLCFs|global warming potential (GWP100)","climate change: land use, including SLCFs|global temperature change potential (GTP100)"
c63b5ff6-0ca1-44a0-92ba-f634fb8373ad,Atrazine,001912-24-9,C8H14ClN5,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",air,non-urban air or from high stacks,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efd3798a-ff6b-46ef-b408-0e74d80548cc,Atrazine,001912-24-9,C8H14ClN5,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",soil,agricultural,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8354bde6-ab9f-5c21-ad79-07dbab26cd22,Atrazine,001912-24-9,C8H14ClN5,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",soil,forestry,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e04d6f3d-1cb2-4ab1-aef9-fd0221028fe2,Atrazine,001912-24-9,C8H14ClN5,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",water,ground-,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fed759dd-dac7-4d8a-abd1-886fd858b654,Atrazine,001912-24-9,C8H14ClN5,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",water,surface water,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d17e81da-3f34-5188-bc30-9dffc1f4bed3,Atrazine,001912-24-9,C8H14ClN5,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",water,unspecified,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f74b213-664e-5da8-b700-bf2c01a9c57a,Azaconazol,060207-31-0,C12H11Cl2N3O2,"1-[[2-(2,4-dichlorophenyl)-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",soil,agricultural,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49cf6a32-97db-5cf4-b1d6-47ea6fd1e4c8,Azadirachtin,011141-17-6,C35H44O16,,soil,agricultural,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c10f1360-e1dc-44fa-8c2d-00bdd8524724,Azinphos-methyl,000086-50-0,C10H12N3O3PS2,guthion (azinphos-methyl); methyl azinphos; methylazinphos,soil,agricultural,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f3d97d7-6ecb-5b48-8bb1-2bada023950e,Aziprotryne,004658-28-0,C7H11N7S,"4-azido-6-methylsulfanyl-N-propan-2-yl-1,3,5-triazin-2-amine",soil,agricultural,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b5b83a4-ef85-4db6-a739-79f8e00d5dac,Azoxystrobin,131860-33-8,C22H17N3O5,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate,air,non-urban air or from high stacks,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e69b028e-e549-4869-ae4a-b85ef8bcb7a9,Azoxystrobin,131860-33-8,C22H17N3O5,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate,soil,agricultural,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310a744b-7a1a-5b7a-a68b-7e85de9d8a20,Azoxystrobin,131860-33-8,C22H17N3O5,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate,soil,forestry,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6f022be-e24e-5d56-898e-98d4074c594f,Azoxystrobin,131860-33-8,C22H17N3O5,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate,water,ground-,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b468d9af-f8a7-59f1-b82d-289dee4eae9e,Azoxystrobin,131860-33-8,C22H17N3O5,methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimidin-4-yloxy]phenyl}-3-methoxyacrylate,water,unspecified,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57c27ba7-a61a-4932-8cd5-095c88ff0245,"BOD5, Biological Oxygen Demand",,,biological oxygen demand; bod; bod5,water,ground-,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aedea697-930a-4a0e-9e4f-b9c369aa9a33,"BOD5, Biological Oxygen Demand",,,biological oxygen demand; bod; bod5,water,"ground-, long-term",kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f012d2d5-ebb4-4531-8285-0b98af3dcbd4,"BOD5, Biological Oxygen Demand",,,biological oxygen demand; bod; bod5,water,ocean,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70d467b6-115e-43c5-add2-441de9411348,"BOD5, Biological Oxygen Demand",,,biological oxygen demand; bod; bod5,water,surface water,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91955aba-6ebc-4413-9342-f0298860b4aa,"BOD5, Biological Oxygen Demand",,,biological oxygen demand; bod; bod5,water,unspecified,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c8ad71b-7d45-46f9-85eb-ae0fcb0eeeab,Barite,007727-43-7,BaO4S,barium sulphate; barium(2+); sulfate,water,ground-,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c975a4d6-eb2f-4607-9ddd-27577a37e3ba,Barite,007727-43-7,BaO4S,barium sulphate; barium(2+); sulfate,water,"ground-, long-term",kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60ea7a31-8f27-46af-bfe5-66417f00088b,Barite,007727-43-7,BaO4S,barium sulphate; barium(2+); sulfate,water,ocean,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e54cd899-0a5e-46b6-a43d-d555ac0af682,Barite,007727-43-7,BaO4S,barium sulphate; barium(2+); sulfate,water,surface water,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17a7db69-d874-4ecd-af5d-48c98def445f,Barite,007727-43-7,BaO4S,barium sulphate; barium(2+); sulfate,water,unspecified,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c13beafb-2aed-4a52-b09a-78d28913b6ce,"Barite, 15% in crude ore",007727-34-7,,,natural resource,in ground,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240177d8-6f3b-43f5-8d1e-0c18114dfa02,Barium,007440-39-3,Ba,,natural resource,in ground,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd5898ca-96ad-4038-b7ac-edf544d2800a,Barium II,022541-12-4,Ba+2,Barium; Barium (2+); Barium ion,air,"low population density, long-term",kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98267bbc-0591-4eb8-8581-2231208c548d,Barium II,022541-12-4,Ba+2,Barium; Barium (2+); Barium ion,air,lower stratosphere + upper troposphere,kg,ecoinvent orphan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24cf82f8-c517-4fef-8f93-17519adb855e,Barium II,022541-12-4,Ba+2,Barium; Barium (2+); Barium ion,air,non-urban air or from high stacks,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e246e3a-5cff-43fc-a8e6-02d191424559,Barium II,022541-12-4,Ba+2,Barium; Barium (2+); Barium ion,air,unspecified,kg,ecoinvent orphan,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
